Afghanistan	afgano,afghano
Africa	africano
Albania	albanese
Algeria	algerino
America	americano
Andorra	andorrano
Angola	angolano
Arabia Saudita	saudita
Argentina	argentino
Armenia	armeno
Artide	artico
Atene	ateniese
Australia	australiano
Austria	austriaco
Autorità Palestinese	palestinese
Azerbaigian	azero,azerbaigiano
Bahamas	bahamense
Bahrain	bahrayno
Bangladesh	bengalese,bangladese
Barbados	barbadiano
Barcellona	barcellonese
Belgio	belga
Benin	beninese
Berlino	berlinese
Berna	bernese
Bhutan	bhutanese
Bielorussia	bielorusso
Birmania	birmano
Boemia	boemo
Bolivia	boliviano
Bordeau	bordolese
Bosnia	bosniaco
Bosnia-Herzegovina	bosniaco
Botswana	botswano
Brasile	brasiliano
Bulgaria	bulgaro
Bulgaria	bulgaro 
Burkina Faso	burkinabé
Burkina Faso	burkinabè
Burundi	burundese
Cairo	cairota
California	californiano
Cambogia	cambogiano
Camerun	camerunese
Canada	canadese
Canton	cantonese
Capo Verde	capoverdiano
Catalogna	catalano
Centro Africa	centrafricano
Ciad	ciadiano
Cile	cileno
Cina	cinese
Cipro	cipriota
Colombia	colombiano
Comore	comoriano
Congo	congolese
Corea	coreano
Corea del Nord	nordcoreano
Corea del Sud	sudcoreano
Costa d'Avorio	ivoriano
Costarica	costaricano
Costa Rica	costaricano
Creta	cretese
Croazia	croato
Cuba	cubano
Dalmazia	dalmata
Danimarca	danese
Dominica	dominicense
Dublino	dublinese
Ecuador	ecuadoregno
Egitto	egiziano
El Salvador	salvadoregno
Emirati Arabi Uniti	emiratino
Eritrea	eritreo
Estonia	estone
Etiopia	etiope
Euzkadi	basco
Figi	figiano
Filadelfia	filadelfiese
Filippine	filippino
Finlandia	finlandese
Francia	francese
Gabon	gabonese
Galles	gallese
Gambia	gambiano
Georgia	georgiano
Germania	tedesco
Ghana	ghanese
Ghanea	ghaneano
Giamaica	giamaicano
Giappone	giapponese
Giava	giavanese
Gibilterra	gilbertese
Giordania	giordano
Gran Bretagna	britannico
Grecia	greco
Grenada	grenadino
Groenlandia	groenlandese
Guatemala	guatemalteco
Guinea Equatoriale	equatoguineano
Guinea	guineano
Haiti	haitiano
Hawaii	hawaiiano
Honduras	honduregno
India	indiano
Indocina	indocinese
Indonesia	indonesiano
Inghilterra	inglese
Irak	iracheno
Iran	iraniano
Iraq	iracheno
Irlanda del Nord	nordirlandese
Irlanda	irlandese
Islanda	islandese
Isole Faroe	faroese
Israele	israeliano
Italia	italiano
Kazakhistan	kazaco,kazako
Kenia	keniota
Kirghizistan	kirghiso,kirghizo
Kosovo	kosovaro
Kurdistan	curdo
Kuwait	kuwaitiano
Laos	laotiano
Lettonia	lettone
Libano	libanese
Liberia	liberiano
Libia	libico
Liechtenstein	liechtensteinese
Lisbona	lisbonese
Lituania	lituano
Londra	londinese
Lussemburgo	lussemburghese
Macedonia	macedone
Madagascar	malgascio
Madrid	madrileno
Malawi	malawaiano
Maldive	maldiviano
Malesia	malese
Mali	maliano
Malì	maliano
Malta	maltese
Marocco	marocchino
Marsiglia	marsigliese
Mauritania	mauritano
Mauritius	mauriziano
Messico	messicano
Moldavia	moldavo
Mongolia	mongolo
Montenegro	montenegrino
Montserrat	montserratiano
Mosca	moscovita
Mozambico	mozambicano
Myanmar	birmano
Namibia	namibiano
Nauru	nauruano
Nepal	nepalese
New York	newyorchese
Nicaragua	nicaraguense,nicaraguegno
Nigeria	nigeriano
Niger	nigerino
Nizza	nizzardo
Norvegia	norvegese
Nuova Zelanda	neozelandese
Olanda	olandese
Oman	omanita
Paesi Bassi	olandese
Pakistan	pakistano
Palau	palauano
Palestina	palestinese
Panama	panamense
Panamá	panamense
Papua	papuano
Paraguay	paraguaiano
Parigi	parigino
Pechino	pechinese
Peru	peruviano
Perù	peruviano
Polinesia Francese	polinesiano
Polonia	polacco
Portogallo	portoghese
Porto Rico	portoricano
Praga	praghese
Principato di monaco	monegasco
Principato di Monaco	monegasco
Qatar	Qatarioto
Regno Unito	britannico
Repubblica Ceca	ceco
Repubblica Centrafricana	centrafricano
